FAC_CODE,FAC_NAME,FAC_DESCRIPTION,DIGEST Status,Change History,Cat_Ix,SCat_Ix,Source of Proposed Change,Report Number,Date of last change,Comments
"BH080","Lake/Pond","A body of water surrounded by land.  (See also BH130)",0,,"B","BH",,"2.0",,"
"
"BH090","Land Subject to Inundation ","An area periodically covered by flood water, excluding tidal waters.  (See also BH095, ED010, and ED020)",0,"Version 2.1: Added reference to ED010 and ED020.","B","BH",,"2.1",,"
"
"BH091","Flooded Area","Land subject to controlled inundation (i.e. flooded by the regulation of the level of water impounded by a dam or beaver dam), and is normally associated with permanently flooded areas in which trees are still standing.  Also known as inundated land.",0,,"B","BH",,"2.0",,"
"
"BH095","Marsh/Swamp","A saturated area, at times covered with water, supporting vegetation which may include trees.  (See also BH090, ED010, and ED020)",0,"Version 2.1: Added reference to ED010 and ED020.","B","BH",,"2.1",,"
"
"BH100","Moat","A trench usually filled with water, that surrounds a body of land.",0,,"B","BH",,"2.0",,"
"
"BH110","Penstock","A pipeline or channel generally used by hydroelectric plants or water mills to transport water by gravity and under pressure.  (See also BH010)",0,,"B","BH",,"2.0",,"
"
"BH115","Underground Water/Phreatic Water","Water situated underground but reachable by wells.",0,,"B","BH",,"2.0",,"
"
"BH120","Rapids ","A place in a stream or river where the current is swift and the surface is usually broken by boulders and rocks.",0,,"B","BH",,"2.0",,"
"
"BH130","Reservoir ","A man-made enclosure or area formed for the storage of water.  (See also BH080)",0,,"B","BH",,"2.0",,"
"
"BH135","Rice Field","An area periodically covered with water used for growing rice.",0,,"B","BH",,"2.0",,"
"
"BH140","River/Stream ","A natural flowing watercourse.",0,,"B","BH",,"2.0",,"
"
"BH141","River Bank","The limit line between the water area of a river and the area of land.",0,,"B","BH",,"2.0",,"
"
"BH145","River/Stream Vanishing Point","Point at which a river or stream passes into the ground.",0,,"B","BH","WP","2.0A","06/24/98 00:00:00","Remove space after 'd''.  Buckley NIMA/SES
"
"BH150","Salt Pan  ","A flat area of natural surface salt deposits.",0,,"B","BH",,"2.0",,"
"
"BH155","Salt Evaporator ","Shallow pools, normally man-made, used for the natural evaporation of water for the collection of salt.",0,,"B","BH",,"2.0",,"
"
"BH160","Sebkha","A natural depression in arid or semi-arid regions whose bed is covered with salt encrusted clayey soil.",0,,"B","BH",,"2.0",,"
"
"BH165","Spillway","A passage for surplus water to run over or around a dam.",0,,"B","BH",,"2.0",,"
"
"BH170","Spring/Water Hole","A natural outflow of water from below the ground surface.  (See also AA050 and BH075)",0,,"B","BH",,"2.0",,"
"
"BH175","Trough","A man-made open water container for animal drinking.",0,,"B","BH",,"2.0",,"
"
"BH180","Waterfall  ","A vertical or nearly vertical descent of water.",0,,"B","BH",,"2.0",,"
"
"BH190","Lagoon/Reef Pool","Open body of water separated from the sea by a sand bank or coral reef.",0,,"B","BH","WP","2.0A","06/24/98 00:00:00","Add 'a' before 'sand'.  Buckley NIMA/SES
"
"BH191","Channel","That part of a body of water, sometimes dredged,  deep enough for navigation through an area otherwise not navigable.  It is usually marked by a single or double line of navigational aids.",0,"Version 2.1: New Feature","B","BH","IT","2.1","07/09/99 00:00:00","To permit mapping the Italian DB25 (scale 25.000 - Italian database) to FACC.
UK:  YES
GE:  YES  But basically that new feature is superfluous. It could also be described by BH190 Lagoon/Reef Pool  or  BA040 Water (Except Inland) + SEA 053 Canal.
CZ:  Why is it necessary to indicate where the canal is? We will have features Canal in Forest, Canal in Desert, ...? If at all, the position might be an attribute.
US:  YES …BUT… Can this be captured by using the existing channel within the lagoon, or is there a topologic reason for this precise definition?   Has this been an item of discussion before?
IT:   ---   Further clarification will be provided at FWP7"
"BH200","Miscellaneous Surface Drainage Feature  ","Surface drainage feature which is of a minor nature and which is not included in other feature codings in this specification.",0,,"B","BH",,"2.0",,"
"
"BH210","Inland Shoreline","The land-water boundary for all inland hydrographic features having shorelines, Lake /Pond (BH080), or Island (BA030).",0,,"B","BH","US","2.0A","04/02/98 00:00:00","Remove phrase "",except for left and right banks of River/Stream (BH140) and Canal(BH020)""
Approved by FACC WP Dec 1997."
"BH501","River Navigation Route","The route in a river suitable for the largest allowed vessels.  (See also FC168)",0,,"B","BH","WP","2.0A",,"Capitalize Navigation and Route"
"BI005","Boat Lift","A mechanical device for lifting vessels between two levels other than a lock.  (See also BI030)",0,,"B","BI",,"2.0",,"
"
"BI010","Cistern","A man-made container used for collection or storage of rain water.",0,,"B","BI",,"2.0",,"
"
"BI020","Dam/Weir","A permanent barrier across a watercourse used to impound water or to control its flow.  (See also BI040)",0,,"B","BI",,"2.0",,"
"
"BI030","Lock ","An enclosure with a pair or series of gates used for raising or lowering vessels as they pass from one water level to another.  (See also BI005)",0,,"B","BI",,"2.0",,"
"
"BI031","Lock Basin","A wet dock in a waterway permitting a ship to pass from one level to another (IHO S-32)  (See also BI030)",0,"Version 2.1: New Feature.","B","BI","GE","2.1","01/21/00 00:00:00","Needed to capture the interior water containing area of a lock.  BI030 Lock includes not only the lock basin, but also the mechanicals of the lock (walls, gates, etc.)."
"BI039","Sluice","An open, inclined conduit fitted with a gate for regulating water flow and may be employed in mine ore washing operations.  (See also BI020 and BI040)",0,"Version 2.1: Modified reference statement to a ""see also"" statement for consistency with other feature definitions.","B","BI","WP","2.1",,"Editorial Change"
"BI040","Sluice Gate ","A gate used to regulate the flow of water.  (See also BI020 and BI039)",0,,"B","BI","WP","2.0A","06/24/98 00:00:00","Remove (see also BI040), that's this feature.  Buckley NIMA/SES
"
"BI041","Gate (Nautical) ","A structure that may be swung, drawn, or lowered to block an entrance or passageway.",0,,"B","BI","WP","2.0A",,"Formatting
"
"BI042","US-Caisson   UK-Dry Dock Gate","The gate at the end of a drydock which excludes the water after pumping out the dock. The pumping engines are often located in the caisson.",0,,"B","BI",,"2.0",,"
"
"BI043","Flood Barrage","An artificial obstruction placed in a water course to increase the depth or to divert it.",0,,"B","BI",,"2.0",,"
"
"BI050","Water Intake Tower","A tower-like structure associated with a dam or water source and used for the intake of water.",0,,"B","BI","WP","2.0A","06/24/98 00:00:00","Remove space after d'.  Ruffhead Mil Survey.
"
"BI060","Fish Ladder","A series of ascending pools constructed to enable fish to swim upstream around or over a dam.",0,,"B","BI",,"2.0",,"
"
"BI070","Gauging Station","A device which monitors stream flow.",0,,"B","BI",,"2.0",,"
"
"BI080","Boat Turning Basin","A section of canal or navigable waterway in which a barge or other vessel can be turned.",0,,"B","BI","WP","2.0A","06/24/98 00:00:00","Add Italian to list of languages.  Buckley NIMA/SES
"
"BJ020","Moraine  ","An accumulation of soil and stone debris deposited by a glacier.",0,,"B","BJ","WP","2.0A","06/24/98 00:00:00","Change ';' to ':' in names section.  Buckley NIMA/SES
"
"BJ030","Glacier","A large mass of snow and ice moving slowly down a slope or valley from above the snowline.",0,,"B","BJ",,"2.0",,"
"
"BJ040","Ice Cliff ","The vertical face of a glacier or ice shelf.",0,,"B","BJ","WP","2.0A","06/24/98 00:00:00","Capitalize Sbarriere under Danish translation.  Buckley NIMA/SES
"
"BJ060","Ice Peak/Nunatak","A rocky peak projecting above a surrounding ice field that may be perpetually covered with ice.",0,,"B","BJ",,"2.0",,"
"
"BJ065","Ice Shelf ","A sheet of thick ice, with level or undulating surface, attached to the land but mostly afloat which is bounded on the seaward side by an Ice Cliff (BJ040).",0,,"B","BJ",,"2.0",,"
"
"BJ070","Pack Ice","An area of ice formed by the drifting and crushing together of floating pieces of ice.",0,,"B","BJ",,"2.0",,"
"
"BJ080","Polar Ice","The heaviest, thickest form of ice over land or water.  (See also BJ100)",0,,"B","BJ","WP","2.0A","06/24/98 00:00:00","Eliminate double space.  Buckley NIMA/SES
"
"BJ100","Snow Field/Ice Field","A large area permanently covered by snow or ice over land or water.  (See also BJ080)",0,,"B","BJ","DE","2.0A",,"
"
"BJ110","Tundra ","A prairie-like region in the Arctic and Subarctic zones which sustains a growth of low vegetation.",0,,"B","BJ",,"2.0",,"
"
"BK010","Acoustic Station","A device equipped for the collection of acoustic data.",0,,"B","BK","WP","2.0A","04/02/98 00:00:00","Massage Definition BE  
Agree Buckley US"
"BK020","Magnetic Station","A device equipped for the collection of magnetic data.",0,,"B","BK","WP","2.0A","04/02/98 00:00:00","Massage Definition BE  
Agree Buckley US"
"BK030","Oceanographic Collection Device","A device used for the collection of unspecified hydrographic and oceanographic data.",0,,"B","BK","US","2.0A","09/17/98 00:00:00","Feature required to capture undifferentiated oceanographic sensing devices for inclusion on several of our hydrographic products.
"
"CA010","Contour Line (Land) ","A line connecting points having the same vertical datum value.",0,,"C","CA","WP","2.0A","06/24/98 00:00:00","Change ';' to ':' in names section.  Buckley NIMA/SES
"
"CA020","Ridge Line","A line representation of a ridge top.",0,,"C","CA",,"2.0",,"
"
"CA025","Valley Bottom Line","A line representation of the lowest part of a valley.",0,,"C","CA",,"2.0",,"
"
"CA026","Breakline","Line representing the demarcation of a sudden and significant change in the gradient of the terrain relief.",0,,"C","CA","IT","2.0A",,"
"
"CA030","Spot Elevation ","A designated location with an elevation value relative to a vertical datum.",0,,"C","CA",,"2.0",,"
"
"CA035","Inland Water Elevation","A location with a generalized elevation value relative to a vertical datum associated with an inland, usually confined, water body.",0,,"C","CA","DE","2.0A",,"
"
"CA040","Contour Polygon (Land)","An arbitrary area outline created to establish elevation as polygons.",0,,"C","CA","DE","2.0A",,"
"
"DA005","Asphalt Lake","A natural pool of liquid asphalt.",0,,"D","DA","WP","2.0A","06/24/98 00:00:00","Remove space after d'.  Ruffhead Mil Survey.
"
"DA006","Alkali Flats","A sterile plain containing an excess of alkali usually occurring in the bottom of an under drained basin in an arid or semi-arid region.  The ground may be soft and have low shearing and bearing strength, and a high organic content.",0,,"D","DA",,"2.0",,"
"
"DA010","Ground Surface Element","The surface soil characteristics of the earth.",0,,"D","DA",,"2.0",,"
"
"DA020","Barren Ground","Ground so disturbed as to have no identifiable coverage.",0,,"D","DA",,"2.0",,"
"
"DA030","Land Area","An area not permanently or temporarily covered by water.",0,,"D","DA",,"2.0",,"
"
"DA031","Land Region","An area of natural scenery on land.  It is defined by its geographical characteristics and known by its proper name.",0,,"D","DA",,"2.0",,"
"
"DB010","Bluff/Cliff/Escarpment","A steep, vertical, or overhanging face of rock or earth.  (See also DB110)",0,,"D","DB",,"2.0",,"
"
"DB030","Cave","A natural subterranean chamber or series of chambers open to the Earth's surface.",0,,"D","DB",,"2.0",,"
"
"DB031","Hill","A small, isolated elevation, smaller than a mountain.",0,,"D","DB",,"2.0",,"
"
"DB060","Crevice/Crevasse","A narrow fissure, crack, or rift in the Earth's surface, snow or ice.",0,,"D","DB",,"2.0",,"
"
"DB070","Cut","An excavation of the Earth's surface to provide passage for a road, railroad, canal, etc.",0,,"D","DB",,"2.0",,"
"
"DB080","Depression","A low area surrounded by higher ground.",0,,"D","DB",,"2.0",,"
"
"DB090","Embankment/Fill","A raised long mound of earth or other material.  (See also BA051)",0,,"D","DB",,"2.0",,"
"
"DB100","Esker","A long, narrow ridge of sand and gravel deposited by a glacial stream.",0,,"D","DB",,"2.0",,"
"
"DB110","Fault","A fracture in the Earth's crust with displacement on one side of the fracture relative to the other.  (See also DB010)",0,,"D","DB",,"2.0",,"
"
"DB115","Geothermal Feature","A terrain surface feature controlled by or derived from the heat of the Earth's interior.",0,,"D","DB","DE","2.0A",,"
"
"DB145","Miscellaneous Obstacle","Obstacle feature which is of a minor nature and which is not covered by another feature coding in this specification.",0,,"D","DB","WP","2.0A","06/24/98 00:00:00","Replace 'other' with 'another'.  Buckley NIMA/SES
"
"DB150","Mountain Pass","A natural route through a low place in a mountain range.",0,,"D","DB",,"2.0",,"
"
"DB160","Rock Strata/Rock Formation","A visual topographic outcrop, layers or beds of rock.",0,,"D","DB",,"2.0",,"
"
"DB161","Large Isolated Rock, Boulder, or Rocky Formation","A conspicuous  isolated rocky formation or single large stone existing in its entirety above the high water mark.  From offshore it would appear to a mariner as a single point on land and would be appropriate for use in navigation.",0,"Version 2.1: New Feature to permit mapping of S-57 attribute CATLMK to FACC.","D","DB","US","2.1","06/30/99 00:00:00","To permit mapping S-57 attribute CATLMK.
GE:  NO  1) Has concerns about the use of scale or product dependent words such as 'isolated'.
         2) Depends on the scale as well. And : Conflict with DB160 Rock Strata /Rock Formation.
BE:  An isolated rock and an isolated rocky formation are not necessarily the same thing.
UK:  This conflict will be common when we are mapping to a catalog having a 'higher authority' such as IHO.
ALL: Keep as generic as possible to allow maximum scope for use.
US:  In using the IHO definition, we are being less restrictive however I have changed the feature name to reflect the full scope of the attribute.
UK:  Still thinking!!  FWP6 had a problem with this. Concerned about mixed concepts, confusion with DB160, and meaning of “isolated”   ??????????
CZ:  ""Isolated"" seems to be clear, I understand it as an opposite to connected here. I don't see any scale dependency in it.  FACC deals with real world features, not with maps.
US:  YES
The fundamental purpose of this new feature is to support a mariner looking for conspicuous landmarks to use in fixing his position.  A rock or boulder in a talus slope amongst many others is not conspicuous, one standing alone on a hillside is.  The same goes for a rock outcrop.  In many parts of the world, especially with a paucity of conspicuous landmarks, rocks and outcrops are frequently charted to be used by the mariner as landmarks.  The scale of reference is the mariner's view.  If it can be portrayed as a single object and if the mariner can quickly recognize it with no doubt of it being confused with others, then it belongs here.
IT:  NO  Seems to be in conflict with DB160.  However, needs further discussion!"
"DB170","Sand Dune/Sand Hills","Ridges or hills of sand.",0,,"D","DB",,"2.0",,"
"
"DB176","Slope Category","An area enclosing a group of slope values falling within a set range.",0,,"D","DB",,"2.0",,"
"
"DB180","Volcano","A mountain or hill, often conical, formed around a vent in the earth's crust through which molten rock, ash, or gases are or have been expelled.",0,,"D","DB",,"2.0",,"
"
"DB190","Volcanic Dike","A steep ridge of igneous rock.",0,,"D","DB",,"2.0",,"
"
"DB200","US-Gully/Gorge  UK-Gullies","A long, narrow, deep erosion with steep banks.",0,,"D","DB",,"2.0",,"
"
"DB210","US-Potential Landslide Area   UK-Landslide/Scree","A mass of land, with a high potential of slipping down from a mountain, hill, etc.",0,,"D","DB",,"2.0",,"
"
"DB211","Landslide","The mass of earth or rock which has slipped down from a mountain or cliff.",0,,"D","DB",,"2.0",,"
"
"DB220","Undermined Land","Area undermined through mining activities that has already partly subsided or that is in the process of subsiding.",0,,"D","DB","GE","2.0A","06/24/98 00:00:00","Required by topographic products.  Also used to drive symbolization.
"
"DB230","Fan","A gently sloping fan shaped feature usually found near the lower termination of a canyon.",0,,"D","DB","DE","2.0A",,"
"
"DB500","Bottomline of Cliff","Bottomline of a steep slope.",0,,"D","DB",,"2.0",,"
"
"DB501","Topline of cliff","Topline of a steep slope.",0,,"D","DB",,"2.0",,"
"
"EA010","Cropland","An area that has been tilled for the planting of crops.  (See also EA040, EA050, and EA055)",0,,"E","EA",,"2.0",,"
"
"EA020","Hedgerow","A continuous growth of shrubbery planted as a fence, a boundary, or a wind break.",0,,"E","EA",,"2.0",,"
"
"EA030","Nursery","A place where shrubs, flowers, plants and trees are grown for transplanting, seed or grafting.",0,,"E","EA",,"2.0",,"
"
"EA031","Botanical Garden","A cultural area where plants and/or trees are displayed.",0,,"E","EA",,"2.0",,"
"
"EA040","Orchard/Plantation","An area covered by systematic plantings of trees which yield fruits, nuts or other products.  (See also EA010, EA050 and EA055)",0,,"E","EA",,"2.0",,"
"
"EA050","Vineyards","An area covered by the systematic planting of grape vines.  (See also EA010, EA040 and EA055)",0,,"E","EA",,"2.0",,"
"
"EA055","Hops","An area covered by the systematic planting of hop vines.  (See also EA010, EA040 and EA050)",0,,"E","EA",,"2.0",,"
"
"EB010","Grassland","An area composed of uncultured plants which have little or no woody tissue.",0,,"E","EB","WP","2.0A","06/24/98 00:00:00","Add 'an' at beginning of sentence.  Buckley NIMA/SES
"
"EB015","Grass/Scrub/Brush","Area composed of uncultured plants which may have some woody tissue.",0,,"E","EB","DE","2.0A",,"
"
"EB020","Scrub/Brush/Bush","Low-growing woody plants.  (See also EC030)",0,,"E","EB","US","2.0A","04/02/98 00:00:00",
"EB030","Land Use/Land Cover (Vegetation)","Thematic classification of the predominant vegetation and land use characteristics of the land surface covers.",0,,"E","EB",,"2.0",,"
"
"EC010","Bamboo/Cane","Woody, treelike grass.",0,,"E","EC",,"2.0",,"
"
"EC015","Forest","An area set aside as a woodland or recreational preserve.",0,,"E","EC",,"2.0",,"
"
"EC020","Oasis","A small, isolated, fertile or green area in a desert region usually having a spring or well.",0,,"E","EC",,"2.0",,"
"
"EC030","Trees","Woody-perennial plants, having a self-supporting main stem or trunk.  (See also EA040, EB020 and EC015)",0,,"E","EC",,"2.0",,"
"
"EC040","US-Cleared Way/Cut Line/Firebreak  UK-Cleared Way/Firebreak","A man-made clearing in a cultural area or through a stand of trees, designed to provide access for a road, railroad, pipeline, or power transmission line, or for boundary demarcation, survey line-of-sight, or to impede the progress of forest fires.",0,,"E","EC",,"2.0",,"
"
"ED010","Marsh","An area of wet, often spongy ground that is subject to frequent or tidal inundations, but not considered to be continually under water.  It is characterized by the growth of non woody plants and by the lack of trees.  (Nautical Chart Manual, US National Oceanic and Atmospheric Administration - NOAA, 1992)  (See also BH090, BH095, and ED020)",0,"Version 2.1: New Feature to break out Marsh and Swamp","E","ED","US","2.1","06/21/00 00:00:00","Breakout of Marsh/Swamp to support vegetation differentiation."
"ED020","Swamp","A low lying saturated area covered with water all or most of the year, where accumulating dead vegetation does not rapidly decay.  It can exist on flat-lying areas created by certain geomorphic environments.  The vegetation mainly consists of hydrophytic trees and/or scrubs whose roots are adapted to wet conditions, with an open to very dense canopy closure.  (See also BH090, BH095, and ED010)",0,"Version 2.1: New Feature to break out Marsh and Swamp","E","ED","US","2.1","06/21/00 00:00:00","Breakout of Marsh/Swamp to support vegetation differentiation."
"EE000","Miscellaneous Vegetation","A mixture of woody and non-woody vegetation types.",0,,"E","EE",,"2.0",,"
"
"EE010","Logging Area","An area of forest or vegetation being exploited for lumber resources.",0,,"E","EE","US","2.0A","04/02/98 00:00:00","
Approved by FACC WP Dec 1997."
"EE020","Land devoid of vegetation","Ground or land with little (less than 5 percent) or no vegetation.",0,,"E","EE","US","2.0A","09/17/98 00:00:00","Required for terrain analysis to capture areas which are devoid of vegetation where the ground is not disturbed.  Required for terrain analysis and DTOP.
EE020 is normally intended for a vegetation coverage.  DA020 is intended for the soils coverage.  Both of these are intended for use only in those cases where 100% coverage is required.
Massage definition BE. 
Agree Buckley US Definition changed.  Please review and comment.  
BE concurred, however wants FWP to take a look at the definition of barren ground in the Terrain Analysis Spec vs. what is in DA020.
IT (12/98) concurred after study of reasons behind need."
"FA000","Administrative Boundary","A line of demarcation between controlled areas.",0,,"F","FA",,"2.0",,"
"
"FA001","Administrative Area","An area controlled by administrative authority.",0,,"F","FA",,"2.0",,"
"
"FA005","Access Zone","A zone between a contact zone and the first possible clearing line (road, towing path, passable road bank crest).  (See also FA041)",0,,"F","FA","WP","N/A","06/24/98 00:00:00","Remove space after d'.  Ruffhead Mil Survey.
"
"FA015","Firing Range/Gunnery Range","An open area designated for the purpose of discharging or detonating firearms.",0,,"F","FA",,"2.0",,"
"
"FA020","Armistice Line ","A line established by opposing political groups as a result of cessation of hostilities.",0,,"F","FA",,"2.0",,"
"
"FA030","Cease-Fire Line ","A line along which active hostilities are suspended.",0,,"F","FA",,"2.0",,"
"
"FA040","Claim Line ","A limit of an area which is unilaterally claimed by one political group without consent or negotiation with another.",0,,"F","FA",,"2.0",,"
"
"FA041","Contact Zone","Terrain area 3 metres wide limited on the water side by the contact between land and water (under average level of water condition).  (See also FA005)",0,,"F","FA",,"2.0",,"
"
"FA050","Mandate Line/Convention Line","A line established to regulate matters between nations or groups over a specific area or territory.",0,,"F","FA",,"2.0",,"
"
"FA060","Defacto Boundary","An existing line of separation not officially recognized by various governments.",0,,"F","FA",,"2.0",,"
"
"FA070","Demilitarized Zone ","An area where military activity is prohibited.",0,,"F","FA",,"2.0",,"
"
"FA080","National Park","Extensive area of a particular nature, that has been defined by law and that is to be protected as a whole.  It meets the prerequisites of a nature reserve for the largest part and has been influenced by man at most only to a small extent .",0,,"F","FA","GE","2.0A","06/24/98 00:00:00","Required by topographic products.  FACC includes feature AK120 Park, but due to its definition it is not suited for describing a national park, not even in combination with attribute value USE 004 national (as, for example, in VMAP).  As regards the definition, we assume that other nations define and maintain national parks on the basis of legal directives as well.
"
"FA081","Nature Reserve","An area that has been legally defined and whose nature and landscape requires special protection, be it in part or as a whole, in order to preserve symbioses or biotypes of specific wildlife animals or plants, for scientific reasons or reasons of natural or geographic history, or because of their rareness, uniqueness or outstanding beauty.",0,,"F","FA","GE","2.0A","06/24/98 00:00:00","Required by topographic products.
"
"FA082","Protected Water, Gathering Ground","Protected area of water collection facilities with restricted use in order to protect the water above and under ground from being polluted.",0,,"F","FA","GE","2.0A","06/24/98 00:00:00","Required by topographic products.
"
"FA090","Geophysical Prospecting Grid  ","A grid established for the collection of geophysical data within an area.",0,,"F","FA",,"2.0",,"
"
"FA100","Test Area","Area for the testing of technical products.",0,,"F","FA","GE","2.0A","06/24/98 00:00:00","Required by topographic products.
"
"FA110","International Date Line ","A line generally coinciding with the 180th meridian, modified to avoid land, and designated as the place where each calendar day begins.",0,,"F","FA",,"2.0",,"
"
"FA165","Training Area","An area reserved for training.",0,,"F","FA","WP","2.0A","06/24/98 00:00:00","Remove space after d'.  Ruffhead Mil Survey.
"
"FA170","Zone of Occupation ","An area temporarily held and controlled by a foreign military force.",0,,"F","FA",,"2.0",,"
"
"FBXXX","Feature Place Holder FB","Place Holder - FB",19,,"F","FB","US","N/A","06/24/98 00:00:00","
"
"FC021","Maritime Limit Boundary","A line where on either side certain activities or factors of significance to navigation and/or operation apply.",0,,"F","FC",,"2.0",,"
"
"FC031","Maritime Area ","An area in which certain activities or factors of significance to navigation and/or operation apply.",0,,"F","FC",,"2.0",,"
"
"FC035","Pond Partition","A structure separating the basins of a fish pond, a reservoir or a liquid waste pond.",0,,"F","FC","DE","2.0A",,"
"
"FC036","Restricted Area ","An area in which certain aspects of navigation are restricted.",0,,"F","FC",,"2.0",,"
"
"FC040","Traffic Separation Scheme System","Complex feature with possible components made of many simple features and complex features BC099, BC098 and FC166.",0,,"F","FC","WP","2.0A",,"Capitalization
"
"FC041","Traffic Separation Scheme (TSS) ","A routing measure aimed at the separation of opposing streams of traffic by appropriate means and by the establishment of traffic lanes.",0,,"F","FC",,"2.0",,"
"
"FC100","Measured Distance Line ","A course whose length has been accurately measured and is used in conjunction with ranges ashore.  It is used by vessels to calibrate logs, engine revolution counters, etc., and determine speed.",0,,"F","FC",,"2.0",,"
"
"FC101","Theodolite Line","Lines of known bearing from fixed geographic locations.  Used to determine accurate positions of a vessel on certain test ranges.",0,,"F","FC","WP","2.0A","04/02/98 00:00:00","Required on OPAREA Charts and DNC.
"
"FC102","Range Centerline","A surveyed reference track marking the center of a test range. Vessels undergoing testing must maintain position along this track.",0,,"F","FC","WP","2.0A","04/02/98 00:00:00","Required on OPAREA Charts and DNC.
"
"FC130","Radar Reference Line ","A line shown on a chart in proximity to a shipping route, along which ships are guided by a traffic control center located in a radar station.  (See also BC032)",0,,"F","FC",,"2.0",,"
"
"FC165","Route (Maritime) ","A track or lane established for the safe passage of ships.",0,,"F","FC",,"2.0",,"
"
"FC166","Deep Water Route","Complex feature with possible components: FC165 & RTT098, FC165 & RTT099, BC099, BC098.",0,,"F","FC",,"2.0",,"
"
"FC167","Defined Water","Complex feature with possible components: FC165 & RTT008, FC165 & RTT012, AT060 & STA032, AT050 & STA033, GA055, BB011, BC099, BC098, and BB007.",0,,"F","FC","WP","2.0A","06/24/98 00:00:00","Change ';' to ':' in names section.  Delete reference to BC029 and BC051.  Buckley NIMA/SES
"
"FC168","Canal Route","A navigable channel in lakes or other waterways.",0,,"F","FC",,"2.0",,"
"
"FC170","Safety Fairway ","A route established for the safe passage of vessels through offshore oil and gas fields and minefields.",0,,"F","FC","WP","2.0A","06/24/98 00:00:00","Change ';' to ':' in names section.  Buckley NIMA/SES
"
"FC177","Swept Area ","An area that has been determined to be clear of navigational dangers to a specified depth.",0,"Version 2.0 Amendment 1:  Replaced old definition of ""An area of water cleared by a wire drag to ensure an area is free of navigational dangers.""","F","FC","WP","2.0A","04/02/98 00:00:00","Addition or modification required for mapping IHO S-57 to FACC.
FC177  CA proposal.  
UK agree in principle but are concerned as to whether this is a ""too fundamental"" change.  We need to discuss the potential need for a new feature."
"GA005","Airspace ","Designated airspace within which some or all aircraft may be subjected to air traffic control.",0,,"G","GA",,"2.0",,"
"
"GA010","ATS Route Segment/Leg ","A portion of an Air Traffic Service (ATS) Route identified by two electronic NAVAIDS at the extremities and/or reporting points.",0,,"G","GA",,"2.0",,"
"
"GA015","Special Use Airspace","Airspace of defined dimension identified by area on Earth's surface where activities must be confined because of their nature and/or where limitations may be imposed on aircraft operations not associated with those activities.",0,,"G","GA","DE","2.0A",,"
"
"GA020","Airspace Boundary Segment ","Single segment of an Airspace (GA005).",0,,"G","GA",,"2.0",,"
"
"GA025","Special Use Airspace Segment","Single segment of a Special Use Airspace (GA015).",0,,"G","GA","WP","2.0A","06/24/98 00:00:00","Remove space after d'.  Ruffhead Mil Survey.
"
"GA030","Off Route Radial/Bearing ","Captures the Off Route Radials/Bearings (directions and distance from a NAVAID to a Waypoint).",0,,"G","GA","DE","2.0A",,"
"
"GA031","Lead Radial","A radial or bearing which provides at least 2 miles of lead to assist in turning onto the intermediate portion of an instrument approach when the angle of intercept is greater than 90 degrees.",0,,"G","GA","US","2.0A","04/02/98 00:00:00","Approved by FACC WP Dec 1997."
"GA035","NAVAIDS (Aeronautical)","Any visual or electronic device which provides point-to-point guidance information or position data.",0,,"G","GA",,"2.0",,"
"
"GA045","Route (Air) ","A specific route designated for channeling the flow or traffic as necessary for the provision of air traffic services.",0,,"G","GA",,"2.0",,"
"
"GA047","Complex Terminal Route","Definition of route segments, action points, and various approach minimum altitudes and distances from the end of landing runway as functions of aircraft type and instrument approach procedures.",0,,"G","GA","US","2.0A","04/02/98 00:00:00","Approved by FACC WP Dec 1997."
"GA048","ILS Component","Navigation Components which are essential to the establishment and execution of a precision approach based on the Instrument Landing System (ILS).",0,"Version 2.1: New Feature","G","GA","US","2.1","08/06/00 00:00:00","Airfield Initiative requirement."
"GA049","ILS Terminal Segment","A specific terminal route/segment designated for channeling the flow of traffic via Instrument Landing System (ILS) terminal procedures.",0,"Version 2.1: New Feature","G","GA","US","2.1","04/02/98 00:00:00","Airfield Initiative requirement."
"GA055","Waypoint/Reporting-Calling In Point","A predetermined geographical position, used for route instrument approach definition or progress reporting purposes or to change frequency etc.",0,,"G","GA",,"2.0",,"
"
"GA065","Air Warning Light","A light or lights marking an obstacle which constitutes a danger to air navigation.",0,,"G","GA","US","2.0A","04/02/98 00:00:00","Approved by FACC WP Dec 1997."
"GA070","Primary Surface","An imaginary surface, longitudinally centered on each runway, at a length of the runway length plus 1000 feet on each end, and a width of 2,000 feet.",0,"Version 2.1: New Feature","G","GA","US","2.1","08/06/00 00:00:00","Airfield Initiative requirement."
"GA071","Approach Surface","An inclined plane, symmetrical about the runway centerline, beginning 200 feet outboard of the runway end point, at the height of the runway end point and extending for 42332 feet (7nm - 200 feet of primary surface). The slope of the approach clearance surface is 50 to 1 along the runway centerline extended until it reaches a height of 500 feet above the height of the lowest runway end on the airport. It then continues horizontally at this height to a point 42532 feet (7nm) from the end of the runway. The width of this surface at the runway end is the same as the primary surface, it flares uniformly, and the width at 42,532 feet is 13,899 feet.",0,"Version 2.1: New Feature","G","GA","US","2.1","08/07/00 00:00:00","Airfield Initiative requirement."
